,T,P,rho,logK,G,H,S,V,Cp
1,0.010000000000047748,1.0,0.9998288909985399,-8.328089926888424,10409.258104495239,22914.037676068023,45.77932614215857,-11.155500206599555,-447.20476891062884
2,10.0,1.0,0.9997402271711434,-7.734876577519572,10021.372868701117,19342.629018375883,32.92091579408087,-14.382564896306434,-284.2168277364391
3,20.0,1.0,0.998231944232903,-7.258033595367124,9735.67661696719,17005.991969010793,24.801693704461776,-16.612560505787428,-191.01502611479418
4,30.0,1.0,0.9956535401769924,-6.860443604264219,9516.276197263272,15406.38083646074,19.430664016547745,-18.23908638014794,-133.15739883665552
5,40.0,1.0,0.9922097903158597,-6.519338033000281,9341.42612004769,14277.897831244394,15.764882224544039,-19.473681978218934,-95.0189000287291
6,50.0,1.0,0.9880295003231175,-6.220114626527334,9197.288625652902,13466.922013319097,13.213475305850125,-20.439476424124535,-68.7152584787355
7,60.0,1.0,0.9831991024120179,-5.952954999997928,9074.645835152129,12878.739068015944,11.41946387598226,-21.213222291110725,-49.92433497143534
8,70.0,1.0,0.9777799523372511,-5.711005996675112,8967.138685695594,12451.911276325118,10.156123409730142,-21.845478625922368,-36.12163194740262
9,80.0,1.0,0.9718174857151269,-5.489336299326965,8870.259310391732,12144.906896781176,9.273534599486425,-22.37114458610705,-25.756703414228284
10,90.0,1.0,0.9653461288405644,-5.284306378978158,8780.74379235087,11928.66057850048,8.669194392314324,-22.81533843963743,-17.837585861176308
11,100.0,1.0132199773326456,0.9583925804027108,-5.093167556605408,8696.183135645231,11782.21042062901,8.271012843101488,-23.196873610919596,-11.707745645482674
12,110.0,1.432409999510109,0.9509951132520374,-4.913686167126116,8614.568170725834,11689.926713620313,8.027299230886427,-23.53052870563485,-6.9200067568148285
13,120.0,1.9848285435728699,0.9431551881806197,-4.744308941017607,8534.704892653506,11640.081286577974,7.899472342219823,-23.828235800419378,-3.163094998844258
14,130.0,2.7002027984094217,0.9348828732574908,-4.583727322202208,8455.566425857367,11623.518903288059,7.858746458761956,-24.100183571803598,-0.21641915648133647
15,140.0,3.611947663543038,0.9261834751901976,-4.430891572247333,8376.375674141804,11632.958133631153,7.883053653414606,-24.355529987898734,2.0778451121203005
16,150.0,4.75716935443319,0.9170577388384797,-4.284950652409407,8296.548133483157,11662.460839750245,7.955131427830281,-24.60298581408196,3.8325247451138154
17,160.0,6.176633543826361,0.9075019390492974,-4.145208546372942,8215.650784782134,11707.045655574882,8.061170560343001,-24.851335485066016,5.126787795447356
18,170.0,7.914705783776428,0.8975078705815247,-4.011092166077447,8133.3724826506805,11762.393470286159,8.189827699547209,-25.109957036219896,6.013230534195841
19,180.0,10.01927248494076,0.8870627282732841,-3.8821275980249084,8049.502826792421,11824.60981867928,8.331475558437944,-25.38939947345679,6.521944067919193
20,190.0,12.541651110473257,0.8761488586692101,-3.757922493303795,7963.917531980667,11890.018529613037,8.477603703015305,-25.702083731237366,6.66218367377013
21,200.0,15.536499393768795,0.8647433597994778,-3.638153121206983,7876.56905999803,11954.965565971565,8.620305745308087,-26.063213541050175,6.421813223470721
22,210.0,19.061732803925835,0.8528174776744496,-3.5225550518534874,7787.481720067561,12015.612561801448,8.751799646389372,-26.492020495430666,5.764272155486168
23,220.0,23.178463172358164,0.8403357551558931,-3.4109168633880245,7696.751036245376,12067.696670076577,8.863929415493317,-27.013532847554956,4.622294563122267
24,230.0,27.95097115380742,0.8272548387803125,-3.303076493144431,7604.547474279534,12106.225154230604,8.947587871151953,-27.661171082259074,2.8868187664277514
25,240.0,33.4467290706899,0.8135218219565223,-3.1989201608307667,7511.125205860939,12125.057703294326,8.99197828091674,-28.480671891146557,0.3881630115913026
26,250.0,39.73649349945939,0.799071934017669,-3.098384076444745,7416.8372432666365,12116.30062565091,8.983588912937833,-29.53620127074103,-3.136008309441735
27,260.0,46.894494626146866,0.783825279718519,-3.0014595373692146,7322.15931091411,12069.383481983561,8.904670971562766,-30.920189750332014,-8.09646547591629
28,270.0,54.99874887869446,0.7676821555228224,-2.908202617423285,7227.726528620813,11969.58580645197,8.730848633435798,-32.76973647811397,-15.15309887144575
29,280.0,64.13154379372928,0.7505161555990211,-2.818750651571463,7134.389955040999,11795.574855841463,8.427164527198968,-35.295127759674926,-25.405326335515667
30,290.0,74.38014919678602,0.7321637029125891,-2.733349570055111,7043.30561368214,11515.076185242739,7.9411732735146785,-38.8318966876694,-40.773516555462265
31,300.0,85.83784289165563,0.712407515744927,-2.6523997699127904,6956.079638709314,11076.799657739466,7.190126801796339,-43.94160028187497,-64.81905551383102
32,310.0,98.60538610376372,0.6909491756795886,-2.5765359463485993,6875.016630067257,10394.271209618542,6.035420967111008,-51.621510356690465,-104.66968838268183
33,320.0,112.79317845791509,0.6673606539538539,-2.5067742686924817,6803.572703906568,9310.427807331784,4.226850309103128,-63.782655652477786,-176.07669387979755
34,330.0,128.5245205332254,0.6409912813344618,-2.4448068760523824,6747.255526524037,7510.467795574572,1.265876525690004,-84.47839847883108,-318.82532248206843
35,340.0,145.94085015410732,0.6107677441517849,-2.3936636612909865,6715.635659641121,4269.753144531976,-3.9885531398352896,-123.63048427094904,-654.5318009668151
36,350.0,165.21128856501093,0.5746875167267814,-2.3594777009530503,6727.6864691386,-2473.9876318869647,-14.765903784973943,-211.50028350821324,-1684.1135304602667
